Reino,Subreino,Rama,Grado,Serie,Phylum,Subphylum,Superclase,Clase,Superorden,Orden,Suborden,Superfamilia,Familia,Subfamilia,Género,Especie,Descripción,Subclase,Infraclase,Infraorden
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,Acariformes,Trombidiformes,Prostigmata,Trombidioidea,Trombidiidae,,Trombidium,holosericeum,"   Estos ácaros poseen un caparazón poco quitinizado y un revestimiento de pelillos que los protegen y los hacen muy resistentes ante los pesticidas químicos. Poseen ojos simples y carecen de antenas, pero usan el par de patas delantero para inspeccionar el terreno. Miden 3 o 4 milímetros de tamaño. Son de color rojo brillante (coloración aposemática) debido a la presencia de carotenoides que resultan tóxicos para los posibles depredadores     Los adultos tienen vida libre y se encuentran entre la hojarasca de bosques mixtos y jardines, entre abril y octubre. Hacen su puesta en las capas superiores del terreno, y las larvas se adhieren a diversos artrópodos y también a vertebrados, a los que parasitan, alimentándose de su sangre, sin causarles graves perjuicios. Finalmente se desprenden y caen, se entierran en el suelo donde pupan, y emergen como adultos.     Tienen una amplia distribución por la región Paleártica.  Rev: mayo-10 ",Acari,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Pseudoscorpiones,,Neobisioidea,Neobisiidae,,Neobisium,sp.,"   Los pseudoscorpiones de este género se asemejan a los escorpiones, pero su abdomen no es alargado y carece de aguijón venenoso.     Pueden correr con soltura tanto hacia delante, como hacia atrás. Se encuentran en lugares secos, bajo piedras o en tocones viejos. Devoran a sus presas por completo, no limitándose sólo a succionar sus jugos.     Se distribuyen por Europa, norte de África y Oriente Próximo.  Rev: octubre-12 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Pseudoscorpiones,,Cheliferoidea,Cheliferidae,Cheliferinae,Chelifer,cancroides,"   Este pequeño artrópodo de menos de cinco milímetros de tamaño, presenta unos grandes pedipalpos, que recuerdan a los verdaderos escorpiones. Los cuatro pares de patas van aumentando de tamaño secuencialmente. Lucen un par de ojos situados lateralmente, y tienen doce segmentos abdominales, aunque sólo son visibles diez.     Habitan en las viviendas humanas, sobre todo en los armarios, y al aire libre bajo la hojarasca y el musgo. Corren con la misma presteza tanto hacia adelante como hacia atrás, incluso pueden hacerlo lateralmente.     Son depredadores de ácaros, y de chinches. A veces aparecen entre los libros viejos o entre montones de papeles polvorientos, razón por la que se le conoce como escorpiones de los libros. En estas condiciones resulta ser un buen aliado, pues se alimenta principalmente de los llamados piojos de los libros.     Para la reproducción, el macho prepara un pequeño territorio frotando el vientre contra el suelo, posiblemente liberando feromonas. Cuando una hembra entra en este territorio, el macho comienza una rápida danza a su alrededor haciendo vibrar el cuerpo y exhibiendo su pedipalpos. Después deposita un espermatóforo en el sustrato y se desplaza hacia atrás guiando a la hembra hasta él, para que lo recoja. La hembra produce entre 20 y 40 huevos que transporta en su abdomen y a los que protegerá unas dos semanas después de la eclosión.     Actualmente es una especie cosmopolita, extendida por el hombre en todo el mundo.  Rev: octubre-12 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Opiliones,Palpatores,Ischyropsalidoidea,Ischyropsalididae,,Ischyropsalis,helwigi,"           Este animal de menos de un centímetro de tamaño, presenta       unos robustos quelíceros con los que sujeta a sus presas,       preferentemente       caracoles y babosas.                 Viven en valles húmedos prealpinos, entre la hojarasca y el musgo.       Tienen hábitos nocturnos, descansando durante las horas de luz.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Scorpiones,,Chactoidea,Euscorpiidae,,Euscorpius,italicus,"           Este escorpión mide unos cuatro centímetros, y presenta       en la cola la característica ampolla de veneno con su       aguijón. Los pedipalpos tienen forma de temibles pinzas, con las       que sujetan a sus presas.                 Presentan actividad nocturna, descansando durante el día debajo       de guijarros o troncos de árbol. Habitan en laderas de poca       vegetación, escondiéndose bajo las piedras, y son poco       frecuentes.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,Parasitiformes,Mesostigmata,Parasitina,,Parasitidae,Parasitinae,Parasitellus,fucorum,"   Es este un ácaro de apenas un milímetro de tamaño y de color naranja muy vivo.     Vive en los nidos de diversos himenópteros, preferentemente del género Bombus y en un determinado estado larvario (deutoninfas) se adhieren a la cara ventral de sus hospedadores para que los dispersen. Durante la estancia de los hospedadores en las flores pueden producirse transferencia a otros insectos, como coleópteros.     Se trata de un animal frecuente, que aparece tanto en bosques como en los jardines y los parques.  Rev: diciembre-20 ",Acari,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Araneus,quadratus,"   Esta araña presenta un abdomen ovalado y globoso, de coloración variable desde rojo óxido a naranja brillante, amarillo o verde, pero siempre con cuatro distintivos puntos blancos, acompañados a veces de otras manchas. Las patas suelen presentar bandas brillantemente coloreadas. Las hembras pueden cambiar activamente de color en un tiempo de dos o tres días.     Las hembras alcanzan los 15 milímetros de tamaño, y los pueden sobrepasar cuando están cargadas de huevos, mientras que los machos no suelen llegar a los 5 milímetros.     Viven en jardines, áreas boscosas y, en general, en cualquier lugar donde puedan colocar sus redes.     Estas telarañas son circulares y pueden superar los cincuenta centímetros de diámetro. Suelen localizarse cerca del suelo, para atrapar insectos saltadores. Se han llegado a contabilizar quinientas capturas diarias en una de estas redes.     Las telarañas de las hembras son más elaboradas que las de los machos, y suelen disponer de un embudo en un lateral para resguardarse de las inclemencias del tiempo.     Es bastante común en todas las regiones templadas de Europa y Asia.  Rev: noviembre-10 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Heteropodoidea,Eutichuridae,,Cheiracanthium,punctorium,"   El tamaño de estas arañas no supera el centímetro y medio. Presentan una coloración pardoamarillenta en el abdomen, que es un claro signo de advertencia para los enemigos, pues la picadura de estas arañas, aunque no tiene consecuencias graves para la mayoría de las personas, sí es muy dolorosa.      Construye un nido de seda de unos cuatro centímetros situado entre la vegetación, donde la hembra vigila y cuida de los huevos hasta que nacen las crías.     Habita en terrenos cálidos, pedregosos y con poca vegetación. Se trata de una especie amenazada de extinción en casi toda su zona de distribución, que comprende Europa y Asia hasta China.  Rev: enero-21 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Philodromoidea,Sparassidae,,Micrommata,virescens,"   Estas arañas presentan un color verde esmeralda intenso en el cefalotórax y las patas, con el abdomen más amarillento, y en los machos, unas franjas dorsales rojizas. El margen interno de los quelíceros está dotado de dos fuertes dientes.     Las hembras alcanzan 1,5 centímetros, mientras que los machos no superan los 9 milímetros.     No construyen redes. Se mantienen siempre al acecho sobre las hojas de la misma coloración, y se desplazan con movimientos rápidos y silenciosos. Se alimentan de insectos.     El apareamiento puede durar hasta 7 horas. Los capullos de huevos se colocan en refugios que las hembras construyen entre las hojas.     Se distribuyen por toda Europa, pero son más frecuentes en las regiones meridionales.  Rev: mayo-10 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,Dolomedes,fimbriatus,"   Se trata de una de las mayores arañas de Europa, superando las hembras con facilidad los dos centímetros de tamaño, mientras que los machos apenas superan uno. Es de color pardo leonado, presentando, tanto en el tórax como en el abdomen, una banda clara en el borde.     Habita en zonas de alta humedad y no lejos del agua, por donde suele huir en caso de peligro, tanto manteniéndose sobre la superficie gracias a la tensión superficial del agua, como corriendo sumergida.     Las hembras transportan en sus quelíceros la bolsa con los huevos y poco antes de hacer eclosión, la depositan en alguna hoja. Después las pequeñas arañas trepan sobre el dorso de la madre, que continúa acarreándolas y protegiéndolas.     Se distribuyen por toda Europa, incluyendo la Península Ibérica.  Rev: febrero-08 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Amaurobioidea,Argyronetidae,,Argyroneta,aquatica,"           La hembra de esta especie, que es menor que el macho, construye entre       las plantas acuáticas, campanas de aire que renueva       continuamente transportando aire limpio desde la superficie, en       minúsculas burbujas atrapadas en su denso pelaje.                 El veneno de estas arañas es el más fuerte de cuantas       habitan en nuestras regiones, sin embargo, los accidentes con estas       arañas son muy escasos.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Pardosa,hortensis,"   Las hembras de esta pequeña araña miden apenas medio centímetro de longitud, siendo los machos ligeramente más pequeños. Son de color pardo más o menos oscuro con una mancha clara irregular en el dorso del prosoma que no alcanza la zona cefálica. En los machos, que son más oscuros, la mancha es más marcada.     No tejen telaraña, sino que persiguen a sus presas. Pueden verse principalmente en primavera y principios de verano, aunque las hembras persisten hasta el otoño. Es una especie muy numerosa en prados, pastizales, brezales, campos y jardines de toda Europa.  Rev: marzo-22 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Eresoidea,Eresidae,,Eresus,cinnaberinus,"   El diseño de los machos de estas arañas los hace inconfundibles: el cefalotórax es de color negro aterciopelado, con pintitas rojas en los bordes, y unos grandes y poderosos quelíceros; presentan una gran mancha rojo bermellón en el abdomen, y sobre ella cuatro puntos negros; y las patas, bastantes robustas, presentan un bonito bandeado blanco. Alcanzan entre 8 y 10 milímetros de tamaño.     Las hembras son completamente negras, con una leve pilosidad blanca y amarilla en la frente, y pueden lograr 16 milímetros de tamaño.     Viven en terrenos cálidos con poca vegetación, y no construyen redes, sino que acechan el paso de sus víctimas en el interior de pequeños agujeros excavados en el suelo y tapizados de telaraña resistente.     Son arañas en cierto modo sociables, pudiéndose encontrar colonias de las mismas, lo que hace que sean localmente numerosas.     Para el apareamiento, los machos penetran en las madrigueras de las hembras y, aunque son ligeramente más pequeños, casi nunca son devorados después de la fecundación. Las hembras quedan al cuidado de los huevos, hasta el nacimiento de las crías, unas 70 ú 80, y después mueren.     Su área de distribución abarca toda Europa, desde Dinamarca hasta la Península Ibérica y hasta Ucrania por el este.     Gerald Durrell describe perfectamente esta araña en su libro ""The Garden of Gods"".  Rev: julio-10 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Nuctenea,umbratica,"   Esta araña tiene el cuerpo muy ancho y aplanado; su rango de color varía entre el pardo rojizo a negro y presenta en el dorso un motivo de color pardo con los bordes más claros. Las hembras pueden llegar a medir un centímetro y medio, quedándose los machos en unos 8 milímetros.     Se muestran activas al atardecer, construyendo telarañas circulares que pueden llegar a 70 centímetros de diámetro, mientras que por el día se esconden bajo la corteza de los árboles o en fisuras de los troncos.     Es capaz de picar a los seres humanos produciendo escozor, sensación de calor y la aparición de un edema rojizo.     Es regular y hasta numerosa en casi toda Europa.   Rev: marzo-13 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,Misumena,vatia,"   La araña cangrejo de las flores presenta un cuerpo corto, ancho y aplastado y un primer par de patas mucho más largas que las otras, y que suele mantener dispuestas hacia atrás, lo que le permite desplazarse rápidamente tanto hacia adelante como hacia atrás o de lado.      Las hembras, que son casi el doble de grandes que los machos, suelen ser de coloración clara, blanca o amarilla, con los costados más oscuros y, a veces, marcas rojas en el abdomen. También suelen mostrar dos bandas oscuras en el cefalotórax. Pueden cambiar activamente de color en función de la flor elegida como ""cazadero"", completándose el cambio de color en un par de días.     Los machos son por completo oscuros, de color rojo o marrón rojizo, excepto los pares de patas tercero y cuarto, que son amarillos; suelen tener algunas bandas longitudinales rojas sobre fondo blanco en el abdomen, que son más o menos evidentes.     Son ovíparos, y tras el acoplamiento, la hembra envuelve los huevos en un capullo de seda, que deposita en un pliegue de una hoja, y se queda guardándolo y deja de alimentarse, por lo que muere poco después de que las crías salgan de los huevos.     No tejen redes, se alimentan de insectos que, incautos, se aproximan a las flores para libar el néctar, les inyectan con sus quelíceros un veneno paralizante, que también hace de jugo gástrico, y después absorben el fluido resultante.     Debido a la variabilidad de color, esta araña ha sido descrita bajo ¡más de 20 nombres científicos diferentes! Sólo la taxonomía moderna y el establecimiento de sus parentescos evolutivos ha permitido desterrar todas esas sinonimias.     Es una especie bastante común en toda Europa y presente en Asia y América del Norte.  Rev: febrero-13 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Araneus,diadematus,"   Esta araña, que es la más común en todo el hemisferio norte de la Tierra, se reconoce fácilmente por un dibujo de manchas claras que conforman una cruz, en un tono más claro, sobre el dorso del abdomen. El color general es variable entre el amarillo pálido y el pardo oscuro, casi negro. El tórax tiene una banda central más oscura y dos laterales del mismo color. El primer par de patas es relativamente largo y se usa para explorar el terreno gracias a numerosos pelos sensoriales que tiene en su parte distal, mientras que el tercero se ve grandemente reducido y se emplea principalmente en colocar la seda en la telaraña y en envolver con ella a las presas.     La picadura de esta araña, a pesar de su tamaño superior al centímetro y medio en las hembras, y de su mala fama, sólo provoca una hinchazón local, más o menos dolorosa, que no es peligrosa.     Tienden espectaculares redes circulares de más de 50 centímetros de diámetro, con unos 35 o 30 hilos radiales, entre las hojas o en los arbustos, con preferencia en las riberas de los ríos, y suelen permanecer las arañas en su centro, a la espera de que caiga en la trampa algún insecto volador.     Al anochecer, la araña se come la telaraña junto con los pequeños animalillos que haya conseguido atrapar, y después comenzará la construcción de una nueva tela, que estará flamante al amanecer, en especial, si se han depositado en sus hilos diminutas gotas de rocío que la harán brillar de forma espectacular.     Los machos, que son mucho más pequeños que las hembras, se acercan a éstas con sumo cuidado para no ser devorados, pero no siempre lo consiguen. Tras el apareamiento, la hembra deposita los huevos en un capullo que protege durante unos días para morir después. Las pequeñas recién salidas forman un hilo de seda del que e cuelgan para ser dispersadas.     No se puede distinguir a simple vista de la araña pálida, por lo que en las regiones donde pueden coincidir hay que recurrir al estudio del epiginio de las hembras para establecer con seguridad la especie.  Rev: febrero-11 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Aculepeira,ceropegia,"     Es una araña regular y numerosa en casi toda Europa y en Norteamérica, estableciéndose en parajes con abundancia de matorrales, en campos y jardines, y en lugares húmedos.     Las hembras adultas alcanzan los 14 milímetros de tamaño, mientras que los machos no alcanzan los 8 milímetros. El nombre común de esta araña se debe al dibujo en forma de hoja lobulada que presenta sobre el abdomen, con un fuerte moteado tanto en el ""limbo"" de la hoja como en la parte exterior.     El acoplamiento tiene lugar en otoño, y los paquetes de huevos son depositados entre las cortezas de los árboles.      Tienden sus redes a pleno sol en campo abierto, pero para ellas se construyen en la parte superior de las mismas una especie de pequeño parasol, donde se atalayan. Se han localizado desde el nivel del mar hasta los 3000 metros de altitud.  Rev: enero-13 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,Latrodectus,mactans,"        Como es sabido, el nombre vulgar de esta araña proviene de su     costumbre de devorar al macho después de la cópula. Su     característica más llamativa es el “reloj de     arena” rojo que presenta en la cara ventral del abdomen.             Tienden sus telas entre los matorrales de zonas cálidas y de     escasa vegetación.     ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,Pisaura,mirabilis,"   La pisaura mirabilis es una araña de color pardo con franjas longitudinales claras en el dorso, que se alimenta de pequeños insectos que atrapa sin construir telarañas, tanto en el suelo como en la vegetación baja.     Los machos presentan los palpos engrosados en los extremos.     Se distribuye por jardines, parques y praderas de Europa y norte de Asia, llegando a ser numerosa en las partes bajas de los valles. En algunas ocasiones, puede buscar acomodo en las viviendas de los seres humanos.     La hembra puede alcanzar los 15 milímetros de longitud, mientras que el macho apenas supera el centímetro. Con el fin de no ser devorado durante el apareamiento, el macho entrega a la hembra un insecto envuelto en un hilo tejido por él mismo y, en numerosas ocasiones, se finje muerto, con el regalo entre los quelíceros; sin embargo, se estima que en un 40% de las ocasiones estas prevenciones resultan insuficientes.     Después, la hembra acarrea el capullo con los huevos -entre 5 y 10-, sujetándolo con sus quelíceros, durante unas dos semanas, después lo engancha en las hierbas y construye una teleraña a su alrededor. Las arañuelas mudan por primera vez en el interior del capullo y después emergen y se dispersan.  Rev: marzo-11 ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Mesothelae,,Lipistidae,,Lipistius,batuensis,"           Es una araña que excava su propia madriguera y la tapiza de       hilos de su tela, pero lo más impresionante es que construye una       tapadera provista de una bisagra que la araña puede abrir y       cerrar a voluntad.                Esta tapadera es una verdadera joya, ya que suele estar camuflada con       musgos por la parte exterior y tener unas especies de asas por medio       de las cuales la araña puede apuntalarse en su interior.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Heteropodoidea,Clubionidae,,Clubiona,vigil,"           Las clubionas son arañas muy pequeñas, no sobrepasan los       seis milímetros de longitud, y se caracterizan por la forma       alargada de su tórax y de su abdomen.                 Es una araña carnívora que se alimenta de       insectos y de otras       arañas. Suele vivir en       las zonas húmedas del suelo ricas en musgos.                  Las hembras envuelven los huevos en un capullo de hilo sedoso y lo lleva        sobre su espalda hasta encontrar un lugar adecuado para depositarlo.      ",,,
Metazoa,Eumetazoa,Bilateria,Coelomata,Protostomia,Arthropoda,Chelicerata,,Arachnida,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,Metellina,segmentata,"   Presenta un abdomen casi esférico, con motivos de fina coloración pardoamarillenta. Por su aspecto es difícil diferenciarla de otras especies del género, pero sin duda es la más abundante.     Durante la época reproductora, varios machos se sitúan sobre la telaraña de una hembra a la espera de que caiga una presa. El primero que llega hasta ella la envuelve y la ofrece a la hembra como regalo. Las hembras fecundadas depositan los huevos amarillentos en un capullo de seda de color blanco que esconden en arranques de las ramas o entre las arrugas de la corteza de los árboles.     A finales del verano y principios del otoño es la araña más frecuente en muchas regiones europeas, en especial en zonas abiertas como las lindes de los bosques o los jardines. Ha sido introducida accidentalmente en Canadá.     Tejen grandes telarañas que se caracterizan por tener vacío el centro y allí suele estar la propietaria la mayor parte del tiempo. Las telas se disponen a escasa altura sobre el suelo.  Rev: junio-15 ",,,
